Date,Open,High,Low,Close,Adj Close,Volume,Days
2021-09-07,416.269989,416.290009,414.420013,415.029999,405.369659,3542500,898
2021-09-08,414.529999,415.26001,412.670013,414.630005,404.979034,4012600,899
2021-09-09,414.339996,416.070007,412.570007,412.769989,403.162292,3887800,900
2021-09-10,414.690002,415.100006,409.420013,409.579987,400.046539,4035500,901
2021-09-13,412.519989,412.709991,408.309998,410.540009,400.984192,4738300,902
2021-09-14,412.019989,412.179993,407.48999,408.410004,398.903809,3657700,903
2021-09-15,408.790009,412.26001,407.700012,411.820007,402.234375,3891400,904
2021-09-16,411.269989,412.190002,408.230011,411.109985,401.540863,3351500,905
2021-09-17,410.350006,410.779999,406.769989,407.079987,397.604706,5396100,906
2021-09-20,401.109985,402.640015,395.570007,400.429993,391.109497,10942700,907
2021-09-21,402.660004,403.899994,399.440002,400.040009,390.728607,6418100,908
2021-09-22,402.170013,405.850006,401.26001,403.899994,394.498749,6004800,909
2021-09-23,405.709991,410.320007,405.470001,408.779999,399.265137,4098000,910
2021-09-24,407.170013,410.130005,406.950012,409.459991,399.929321,3417700,911
2021-09-27,408.420013,409.570007,407.589996,408.299988,398.796295,3546600,912
2021-09-28,405.549988,405.869995,399.329987,400.140015,390.826263,8234300,913
2021-09-29,400.100006,401.790009,398.859985,399.459991,391.44162,4724200,914
2021-09-30,400.850006,401.519989,394.339996,394.399994,386.483215,9511200,915
2021-10-01,396.230011,400.850006,392.769989,399.119995,391.108429,8482200,916
2021-10-04,398.119995,398.940002,391.959991,394.209991,386.297028,8820400,917
2021-10-05,395.559998,400.350006,394.790009,398.040009,390.05014,5523200,918
2021-10-06,394.649994,400.019989,393.059998,399.809998,391.784637,6590000,919
2021-10-07,403.070007,406.049988,402.850006,403.25,395.155548,4409200,920
2021-10-08,404.040009,404.390015,401.940002,402.48999,394.410797,3960900,921
2021-10-11,401.910004,404.73999,399.559998,399.559998,391.539642,3695700,922
2021-10-12,400.549988,400.920013,397.869995,398.76001,390.755737,6201300,923
2021-10-13,399.640015,400.880005,396.75,400.040009,392.01001,6492400,924
2021-10-14,403.700012,406.950012,403.220001,406.76001,398.595093,3785200,925
2021-10-15,408.920013,410.26001,408.279999,409.929993,401.701447,3501600,926
2021-10-18,408.200012,411.459991,407.529999,411.179993,402.926422,3402700,927
2021-10-19,412.73999,414.380005,412.140015,414.380005,406.062164,2838300,928
2021-10-20,414.73999,416.220001,414.649994,415.98999,407.639862,3208200,929
2021-10-21,415.380005,417.23999,414.940002,417.01001,408.639374,2579500,930
2021-10-22,416.579987,418,414.700012,416.589996,408.227783,3648900,931
2021-10-25,417.640015,419.140015,415.929993,418.75,410.344452,2511500,932
2021-10-26,420.269989,421.529999,418.859985,419.149994,410.736389,3085300,933
2021-10-27,419.660004,420.290009,417.279999,417.329987,408.952911,2873500,934
2021-10-28,418.779999,421.440002,418.75,421.410004,412.95105,3643600,935
2021-10-29,419.149994,422.519989,418.869995,422.160004,413.686005,4637400,936
2021-11-01,423.190002,423.570007,421.279999,423.049988,414.558105,3937300,937
2021-11-02,423.149994,424.959991,423.01001,424.690002,416.165222,2989200,938
2021-11-03,424.140015,427.660004,423.690002,427.25,418.673859,3562900,939
2021-11-04,427.850006,429.369995,427.540009,429.25,420.633667,4287300,940
2021-11-05,431.549988,432.76001,429.299988,430.709991,422.064392,4942900,941
2021-11-08,431.880005,432.339996,430.5,431.230011,422.573914,3511600,942
2021-11-09,431.559998,431.75,428.339996,429.720001,421.094208,4696000,943
2021-11-10,428.089996,429.730011,424.809998,426.26001,417.703705,6350700,944
2021-11-11,427.700012,427.820007,426.390015,426.399994,417.840912,3634600,945
2021-11-12,427.660004,430.170013,426.730011,429.570007,420.947296,3655500,946
2021-11-15,430.950012,431.01001,428.649994,429.769989,421.14325,3122300,947
2021-11-16,429.519989,432.589996,429.470001,431.410004,422.750305,3267000,948
2021-11-17,431.23999,431.390015,429.839996,430.369995,421.731232,3764900,949
2021-11-18,431.440002,432.170013,428.799988,431.859985,423.191284,4732200,950
2021-11-19,431.869995,432.98999,430.380005,431.049988,422.397552,4886200,951
2021-11-22,432.929993,435.410004,429.720001,429.910004,421.280426,4868300,952
2021-11-23,429.570007,431.290009,427.040009,430.470001,421.829163,6795200,953
2021-11-24,428.559998,431.75,427.709991,431.529999,422.867889,4569600,954
2021-11-26,425.190002,426.519989,420.899994,422.140015,413.666382,7702500,955
2021-11-29,426.709991,428.980011,424.549988,427.23999,418.664032,6300800,956
2021-11-30,424.799988,426.630005,418.630005,419.059998,410.648224,8657600,957
2021-12-01,424.470001,427.220001,413.970001,414.23999,405.924957,8337000,958
2021-12-02,414.420013,422.059998,414.029999,420.559998,412.118103,10417700,959
2021-12-03,422.119995,423.190002,412.769989,416.839996,408.472778,10228900,960
2021-12-06,419.410004,423.660004,417,421.820007,413.352844,7289500,961
2021-12-07,426.980011,431.100006,426.940002,430.48999,421.848785,4731900,962
2021-12-08,430.950012,432.140015,429.23999,431.700012,423.034515,4476500,963
2021-12-09,430.459991,431.320007,428.609985,428.76001,420.153503,5035400,964
2021-12-10,431.440002,432.959991,428.950012,432.850006,424.161407,6238300,965
2021-12-13,432.359985,432.660004,428.75,429.01001,420.398499,5923900,966
2021-12-14,425.799988,428.23999,423.200012,426.089996,417.537109,6522900,967
2021-12-15,426.109985,432.980011,423.670013,432.75,424.063416,6871300,968
2021-12-16,434.559998,434.799988,427.350006,428.839996,420.231934,7159500,969
2021-12-17,425.850006,428.790009,422.670013,424.390015,415.871216,8882700,970
2021-12-20,419.390015,420.220001,416.299988,419.799988,411.373383,9903400,971
2021-12-21,421.649994,425.850006,419.519989,425.690002,418.674072,6916700,972
2021-12-22,425.450012,430.089996,425.320007,429.98999,422.903168,4992200,973
2021-12-23,430.910004,434.100006,430.869995,432.640015,425.509491,5032700,974
2021-12-27,433.980011,438.820007,433.950012,438.809998,431.577789,4986300,975
2021-12-28,439.279999,440.190002,437.660004,438.480011,431.253265,4865800,976
